Percentage of Edges,Number of Vertices,Number of Tested Solutions,Execution Time,Percentage of Optimal Results
25,2,1,0.0,100.0
25,3,2,0.0,100.0
25,4,4,0.0,100.0
25,5,8,0.0,100.0
25,6,15,0.0,100.0
25,7,29,0.0,100.0
25,8,31,0.0009968280792236328,100.0
25,9,93,0.0019943714141845703,100.0
25,10,150,0.011968612670898438,100.0
25,11,350,0.07679390907287598,100.0
25,12,868,0.20848584175109863,100.0
25,13,1678,0.886671781539917,100.0
25,14,3144,4.221758127212524,100.0
25,15,3834,5.80635142326355,100.0
25,16,4400,5.855100870132446,100.0
25,17,4593,10.005991220474243,93.75
25,18,4839,7.46891713142395,94.12
25,19,4855,13.398707389831543,88.89
25,20,4947,11.101228475570679,84.21
25,21,4919,11.302655220031738,80.0
25,22,4959,18.023754835128784,76.19
25,23,4990,6.858687400817871,77.27
25,24,4985,13.848112106323242,73.91
25,25,4988,20.150264024734497,70.83
50,2,1,0.0,100.0
50,3,2,0.0,50.0
50,4,4,0.0,66.67
50,5,8,0.0,75.0
50,6,17,0.0,80.0
50,7,25,0.000997304916381836,66.67
50,8,61,0.0009965896606445312,71.43
50,9,112,0.002991914749145508,75.0
50,10,166,0.010970115661621094,77.78
50,11,363,0.06582427024841309,80.0
50,12,754,0.24485540390014648,81.82
50,13,1741,0.795872688293457,83.33
50,14,1907,2.826596975326538,84.62
50,15,2897,2.727972984313965,85.71
50,16,3019,4.199007749557495,86.67
50,17,4339,5.556890964508057,87.5
50,18,3790,6.197243928909302,88.24
50,19,4692,7.888031482696533,83.33
50,20,4297,7.398821830749512,78.95
50,21,4810,7.720096588134766,80.0
50,22,4727,4.574339866638184,80.95
50,23,4893,9.778791427612305,77.27
50,24,4934,5.086316823959351,78.26
50,25,4938,3.9709672927856445,79.17
75,2,1,0.0,100.0
75,3,2,0.0,100.0
75,4,4,0.0,66.67
75,5,7,0.0,75.0
75,6,16,0.0,80.0
75,7,28,0.0,83.33
75,8,51,0.0019943714141845703,85.71
75,9,104,0.0029914379119873047,87.5
75,10,204,0.009973526000976562,88.89
75,11,308,0.04791736602783203,90.0
75,12,489,0.12114453315734863,90.91
75,13,772,0.5307826995849609,91.67
75,14,1076,1.208235502243042,92.31
75,15,1416,2.505737066268921,92.86
75,16,3434,3.4526097774505615,93.33
75,17,3739,4.422408103942871,93.75
75,18,2621,3.6741271018981934,94.12
75,19,2850,3.402684450149536,94.44
75,20,4389,3.837038040161133,94.74
75,21,3375,3.7220916748046875,95.0
75,22,3734,4.875990629196167,95.24
75,23,4267,5.001453876495361,95.45
75,24,4018,5.306492567062378,91.3
75,25,4838,6.085983037948608,87.5
